6.846	10.3874
7.13	9.8486
7.446	9.3514
7.51	8.6876
7.724	8.2109
8.16	7.714
8.82	7.1968
9.738	6.5557
10.497	6.1633
11.81	5.4194
12.431	5.1512
13.961	4.6776
15.695	4.3082
16.897	4.0205
19.073	3.7559
20.462	3.5517
22.502	3.266
24.303	2.9797
26.977	2.5918
29.939	2.412
32.318	2.2517
35.21	2.134
39.624	1.9784
43.371	1.8834
46.758	1.7877
49.666	1.6908
52.678	1.5734
56.953	1.5419
59.589	1.4029
62.993	1.3279
66.72	1.3574
69.678	1.3229
74.399	1.251
77.271	1.2578
79.974	1.2019
83.976	1.1283
87.5	1.0536
90.083	0.9974
93.228	1.0463
96.563	1.0334
99.641	0.9992
